base_model_name,suspect_model_name,num_pairs,avg_js_divergence,avg_prefix_match_rate,avg_lcs_ratio,avg_sig_overlap_rate,avg_text_score,bottom_k_vocab_size,per_pair_js_json
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.36890056133270266,0.0,0.024016563146997925,0.0,0.008005521048999308,2000,"[0.39088523387908936, 0.39088523387908936, 0.3588521182537079, 0.3588521182537079, 0.3497624695301056, 0.3497624397277832, 0.31271159648895264, 0.312711626291275, 0.4322913885116577, 0.4322913885116577]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.43479722142219546,0.0,0.0,0.0,0.0,2000,"[0.43876343965530396, 0.4387633800506592, 0.3442996144294739, 0.3442996144294739, 0.46716850996017456, 0.46716850996017456, 0.43573421239852905, 0.43573421239852905, 0.4880203604698181, 0.4880203604698181]"
osllmai-community/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4265670269727707,0.0,0.07005027309772222,0.0,0.023350091032574072,2000,"[0.4396776556968689, 0.4396776556968689, 0.4619555175304413, 0.4619555175304413, 0.410344660282135, 0.41034460067749023, 0.3813018202781677, 0.38130179047584534, 0.4395555257797241, 0.4395555257797241]"
hangingardens/hihihi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5042213499546051,0.0,0.1199796602694873,0.0,0.0399932200898291,2000,"[0.5814886689186096, 0.5814886689186096, 0.5877724885940552, 0.5877724885940552, 0.46394431591033936, 0.46394431591033936, 0.39139339327812195, 0.39139339327812195, 0.4965078830718994, 0.4965078830718994]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.40221531987190245,0.0,0.0318684652164276,0.0,0.010622821738809199,2000,"[0.3417517840862274, 0.3417517840862274, 0.420340895652771, 0.4203408360481262, 0.4507005214691162, 0.4507005214691162, 0.37850841879844666, 0.37850841879844666, 0.41977500915527344, 0.41977500915527344]"
caelancooper/Qwen2.5-0.5B-business,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5288001656532287,0.0,0.10174287260962482,0.0,0.03391429086987494,2000,"[0.6113613843917847, 0.6113613843917847, 0.45943185687065125, 0.45943185687065125, 0.4643194377422333, 0.4643194377422333, 0.5809171199798584, 0.5809171199798584, 0.5279710292816162, 0.5279710292816162]"
sail/Sailor2-1B-Pre,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4531782031059265,0.0,0.004,0.0,0.0013333333333333333,2000,"[0.4386098384857178, 0.4386098384857178, 0.387715607881546, 0.387715607881546, 0.42200779914855957, 0.42200779914855957, 0.6571863293647766, 0.6571863293647766, 0.3603714406490326, 0.3603714406490326]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5345980495214462,0.0,0.026305420567761785,0.0,0.008768473522587262,2000,"[0.602120041847229, 0.6021199822425842, 0.4666196405887604, 0.4666195809841156, 0.5393402576446533, 0.5393402576446533, 0.6155607104301453, 0.6155607104301453, 0.44934964179992676, 0.44934967160224915]"
fdyrd/QwenMath-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4403914034366608,0.0,0.027825907590759074,0.0,0.009275302530253025,2000,"[0.4967992603778839, 0.4967992603778839, 0.41204920411109924, 0.41204920411109924, 0.3617337644100189, 0.3617337644100189, 0.5759307742118835, 0.5759307742118835, 0.3554440438747406, 0.3554439842700958]"
tcapelle/toxicity-scorer-qwen,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4038393199443817,0.0,0.0041995039955910725,0.0,0.0013998346651970242,2000,"[0.4495288133621216, 0.4495288133621216, 0.4068499207496643, 0.4068499207496643, 0.41131365299224854, 0.41131365299224854, 0.3994424343109131, 0.3994424343109131, 0.35206177830696106, 0.35206177830696106]"
