base_model_name,suspect_model_name,num_pairs,avg_js_divergence,avg_prefix_match_rate,avg_lcs_ratio,avg_sig_overlap_rate,avg_text_score,bottom_k_vocab_size,per_pair_js_json
viethq5/Qwen2.5-0.5B-Instruct-f16,Qwen/Qwen2.5-0.5B,10,0.06245982274413109,0.0,0.008220977400038633,0.0,0.0027403258000128776,2000,"[0.048391569405794144, 0.048391569405794144, 0.06937720626592636, 0.06937720626592636, 0.07055589556694031, 0.07055589556694031, 0.06588289141654968, 0.06588289141654968, 0.058091551065444946, 0.058091551065444946]"
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,Qwen/Qwen2.5-0.5B,10,0.19146823585033418,0.0,0.0024878807280709777,0.0,0.0008292935760236593,2000,"[0.19067317247390747, 0.19067317247390747, 0.2340959906578064, 0.2340959906578064, 0.22521600127220154, 0.22521600127220154, 0.1826496124267578, 0.1826496124267578, 0.12470640242099762, 0.12470640242099762]"
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,Qwen/Qwen2.5-0.5B,10,0.3309575796127319,0.0,0.0,0.0,0.0,2000,"[0.2514429986476898, 0.2514430284500122, 0.34850430488586426, 0.34850430488586426, 0.3419313132762909, 0.3419313132762909, 0.34559252858161926, 0.34559252858161926, 0.36731675267219543, 0.36731672286987305]"
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,Qwen/Qwen2.5-0.5B,10,0.0018942526541650296,0.0,0.0,0.0,0.0,2000,"[0.0013169273734092712, 0.0013169273734092712, 0.0020608599297702312, 0.0020608599297702312, 0.002788400510326028, 0.002788364654406905, 0.0016899381298571825, 0.0016899381298571825, 0.0016151552554219961, 0.0016151552554219961]"
verge4646/autotrain-qwen-1737303151,Qwen/Qwen2.5-0.5B,10,0.05617375411093235,0.0,0.0,0.0,0.0,2000,"[0.090794637799263, 0.090794637799263, 0.03521702438592911, 0.03521699085831642, 0.07248125970363617, 0.07248125970363617, 0.04971006512641907, 0.04971006512641907, 0.03266580030322075, 0.03266580030322075]"
minchyeom/bot3-0.5B,Qwen/Qwen2.5-0.5B,10,0.12031684517860412,0.0,0.0012126215373325995,0.0,0.0004042071791108665,2000,"[0.12407657504081726, 0.12407657504081726, 0.11940571665763855, 0.11940571665763855, 0.08367618918418884, 0.08367618918418884, 0.10987718403339386, 0.10987715423107147, 0.1645485758781433, 0.1645485758781433]"
fabiopernisi/Qwen2.5-0.5B-BMW-compl,Qwen/Qwen2.5-0.5B,10,0.07614682763814926,0.0,0.018885638046161387,0.0,0.006295212682053796,2000,"[0.09103048592805862, 0.09103047847747803, 0.03920864686369896, 0.03920867666602135, 0.0843600332736969, 0.0843600332736969, 0.12216737121343613, 0.12216737121343613, 0.0439675897359848, 0.0439675897359848]"
josang1204/Qweb2.5-FT-CSY,Qwen/Qwen2.5-0.5B,10,0.20871195793151856,0.0,0.004416602037814564,0.0,0.0014722006792715215,2000,"[0.17585688829421997, 0.17585688829421997, 0.21261867880821228, 0.21261867880821228, 0.22848749160766602, 0.22848749160766602, 0.18879348039627075, 0.18879348039627075, 0.23780325055122375, 0.23780325055122375]"
p1atdev/qwen2.5-0.5b-grpo-math-01,Qwen/Qwen2.5-0.5B,10,0.41448443531990053,0.0,0.0005788712011577424,0.0,0.0001929570670525808,2000,"[0.41851645708084106, 0.41851645708084106, 0.3888644576072693, 0.3888644576072693, 0.430860698223114, 0.430860698223114, 0.45033904910087585, 0.45033904910087585, 0.38384151458740234, 0.38384151458740234]"
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,Qwen/Qwen2.5-0.5B,10,0.09142711386084557,0.0,0.005225325683590823,0.0,0.0017417752278636076,2000,"[0.10141307860612869, 0.10141310840845108, 0.07509888708591461, 0.07509888708591461, 0.09839710593223572, 0.09839710593223572, 0.04686397686600685, 0.04686397686600685, 0.13536250591278076, 0.13536250591278076]"
BlossomsAI/BloomVN-0.5B-ppo,Qwen/Qwen2.5-0.5B,10,0.023224284499883653,0.0,0.005486590038314176,0.0,0.0018288633461047254,2000,"[0.018442286178469658, 0.018442286178469658, 0.028829291462898254, 0.028829291462898254, 0.022287242114543915, 0.022287242114543915, 0.02774067223072052, 0.02774067595601082, 0.018821928650140762, 0.018821928650140762]"
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,10,0.15287868827581405,0.0,0.0037973027193191912,0.0,0.001265767573106397,2000,"[0.12551377713680267, 0.12551377713680267, 0.12302892655134201, 0.12302892655134201, 0.2189011424779892, 0.2189011424779892, 0.177332803606987, 0.177332803606987, 0.1196167916059494, 0.1196167916059494]"
awentzonline/Qwen2.5-0.5B-replies,Qwen/Qwen2.5-0.5B,10,0.06426957324147224,0.0,0.0037695812269862073,0.0,0.0012565270756620692,2000,"[0.05331612378358841, 0.05331612378358841, 0.054331135004758835, 0.054331135004758835, 0.07832467555999756, 0.07832467555999756, 0.056055158376693726, 0.056055158376693726, 0.07932077348232269, 0.07932077348232269]"
brando/tfa_output_2025_m02_d07_t07h_45m_38s,Qwen/Qwen2.5-0.5B,10,0.0019235932908486576,0.0,0.0012461059190031153,0.0,0.0004153686396677051,2000,"[0.005316471680998802, 0.005316471680998802, 0.0021400428377091885, 0.0021400428377091885, 0.0005401993985287845, 0.0005401993985287845, 0.0014088035095483065, 0.0014088035095483065, 0.00021244902745820582, 0.00021244902745820582]"
oieieio/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,10,0.07065053693950177,0.0,0.0056974716652136,0.0,0.0018991572217378668,2000,"[0.06406454741954803, 0.06406454741954803, 0.11953892558813095, 0.11953892558813095, 0.04148653522133827, 0.041486456990242004, 0.07238496840000153, 0.07238496840000153, 0.05577773600816727, 0.05577775835990906]"
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,Qwen/Qwen2.5-0.5B,10,0.5124110817909241,0.0,0.006253149412956289,0.0,0.0020843831376520963,2000,"[0.5408021211624146, 0.5408021211624146, 0.3976685702800751, 0.3976685702800751, 0.573684811592102, 0.573684811592102, 0.5216222405433655, 0.5216223001480103, 0.5282776355743408, 0.5282776355743408]"
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,Qwen/Qwen2.5-0.5B,10,0.23621355891227722,0.0,0.08164204230580215,0.0,0.02721401410193405,2000,"[0.17324519157409668, 0.17324519157409668, 0.2614947557449341, 0.2614947557449341, 0.21690016984939575, 0.21690016984939575, 0.2410881221294403, 0.2410881221294403, 0.2883395552635193, 0.2883395552635193]"
dtejasaipraveen/qwenfinetuned,Qwen/Qwen2.5-0.5B,10,-1.6358081639245014e-09,0.0,0.0038218641114982576,0.0,0.0012739547038327526,2000,"[-1.5746874637567743e-10, -1.5746874637567743e-10, 4.303484679724079e-09, 4.303484679724079e-09, -3.6988778706614767e-09, -3.6988778706614767e-09, 5.603896902073302e-09, 5.603896902073302e-09, -2.484401662172786e-08, -3.616134947037608e-09]"
qgallouedec/Qwen2.5-0.5B-GRPO-2873,Qwen/Qwen2.5-0.5B,10,4.629347131412942e-07,0.0,0.0,0.0,0.0,2000,"[1.138703737524338e-06, 1.138703737524338e-06, 3.558347998477984e-07, 3.558347998477984e-07, 3.6786377677344717e-07, 3.8599000617978163e-07, 1.8122727851732634e-07, 1.8122727851732634e-07, 2.6198085834039375e-07, 2.6198085834039375e-07]"
qgallouedec/Qwen2.5-0.5B-GRPO-main,Qwen/Qwen2.5-0.5B,10,4.0311115299118685e-07,0.0,0.005435679945610826,0.0,0.0018118933152036088,2000,"[3.541990736266598e-07, 3.541990736266598e-07, 2.9348666430450976e-07, 2.9348666430450976e-07, 2.4414475774392486e-07, 2.4414475774392486e-07, 8.110473572742194e-07, 8.110473572742194e-07, 3.559571268851869e-07, 2.6939869712805375e-07]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,Qwen/Qwen2.5-0.5B,10,0.4744485467672348,0.0,0.0,0.0,0.0,2000,"[0.450662225484848, 0.45066219568252563, 0.4797223210334778, 0.4797223210334778, 0.38380205631256104, 0.38380205631256104, 0.4280373752117157, 0.4280373752117157, 0.6300187706947327, 0.6300187706947327]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,Qwen/Qwen2.5-0.5B,10,0.0004765146819408983,0.0,0.020649400146488507,0.0,0.006883133382162836,2000,"[0.00033382821129634976, 0.00033382821129634976, 0.00044468618580140173, 0.00044468618580140173, 0.0008769455598667264, 0.0008769799023866653, 0.00034784653689712286, 0.00034784653689712286, 0.00037924974458292127, 0.00037924974458292127]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,Qwen/Qwen2.5-0.5B,10,0.5177776396274567,0.0,0.0,0.0,0.0,2000,"[0.6379002332687378, 0.6379002332687378, 0.5518409013748169, 0.5518409013748169, 0.5395379066467285, 0.5395379066467285, 0.3968064486980438, 0.3968064486980438, 0.4628027081489563, 0.4628027081489563]"
flyyufelix/Qwen-2.5-7B-Simple-RL,Qwen/Qwen2.5-0.5B,10,0.2753178536891937,0.0,0.0026622296173044926,0.0,0.0008874098724348309,2000,"[0.1928156465291977, 0.1928156465291977, 0.28910717368125916, 0.28910717368125916, 0.31090670824050903, 0.31090670824050903, 0.3436613976955414, 0.3436613976955414, 0.24009834229946136, 0.24009834229946136]"
jzhang-x/Qwen-2.5-7B-Simple-RL,Qwen/Qwen2.5-0.5B,10,1.2573185085784643e-05,0.0,0.05089485458612976,0.0,0.01696495152870992,2000,"[1.816141593735665e-05, 1.816141593735665e-05, 1.3347169442567974e-05, 1.3347169442567974e-05, 1.0073024895973504e-05, 1.0073024895973504e-05, 1.253191294381395e-05, 1.253191294381395e-05, 8.752402209211141e-06, 8.752402209211141e-06]"
ruizhe1217/sft-s1-qwen-0.5b,Qwen/Qwen2.5-0.5B,10,0.07301952689886093,0.0,0.0,0.0,0.0,2000,"[0.047996461391448975, 0.04799652099609375, 0.09758235514163971, 0.09758235514163971, 0.06464262306690216, 0.06464262306690216, 0.06713412702083588, 0.06713412702083588, 0.08774203807115555, 0.08774203807115555]"
hZzy/qwen2.5-0.5b-sft-25-1,Qwen/Qwen2.5-0.5B,10,0.06748450323939323,0.0,0.019828215738776647,0.0,0.006609405246258883,2000,"[0.08585698157548904, 0.08585698157548904, 0.050989970564842224, 0.050989970564842224, 0.03732617571949959, 0.03732617571949959, 0.058789998292922974, 0.058789998292922974, 0.10445939004421234, 0.10445939004421234]"
sathwik16/results,Qwen/Qwen2.5-0.5B,10,0.019643736258149146,0.0,0.02252058036633052,0.0,0.007506860122110173,2000,"[0.009300868026912212, 0.009300868026912212, 0.015674730762839317, 0.015674730762839317, 0.015370995737612247, 0.015370995737612247, 0.015045985579490662, 0.015045985579490662, 0.042826101183891296, 0.042826101183891296]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,Qwen/Qwen2.5-0.5B,10,0.4737181603908539,0.0,0.0,0.0,0.0,2000,"[0.4893607497215271, 0.4893607795238495, 0.4102973937988281, 0.4102973937988281, 0.6263585090637207, 0.6263585090637207, 0.45457127690315247, 0.45457130670547485, 0.38800281286239624, 0.388002872467041]"
mustafij48/qwen2.5-0.5B_on_databricks_dolly_4k_datasize_5_epoch,Qwen/Qwen2.5-0.5B,10,0.01438283883035183,0.0,0.0019899884102285896,0.0,0.0006633294700761965,2000,"[0.015769679099321365, 0.015769679099321365, 0.008096286095678806, 0.008096286095678806, 0.01842423528432846, 0.01842423528432846, 0.013344602659344673, 0.013344652950763702, 0.016279365867376328, 0.016279365867376328]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoch-8-peft,Qwen/Qwen2.5-0.5B,10,-3.2455662335451055e-08,0.0,0.0010075566750629723,0.0,0.00033585222502099076,2000,"[-5.243528278242593e-08, -5.243528278242593e-08, -4.093507754987513e-08, -4.093507754987513e-08, -3.936840187179769e-08, -3.936840187179769e-08, -1.5828803157091897e-08, -1.5828803157091897e-08, -1.3710746316064615e-08, -1.3710746316064615e-08]"
EdBerg/outputs_qwen_100,Qwen/Qwen2.5-0.5B,10,0.3590291738510132,0.0,0.0003129890453834116,0.0,0.00010432968179447054,2000,"[0.5171092748641968, 0.5171092748641968, 0.3812676966190338, 0.3812676966190338, 0.2981075048446655, 0.2981075048446655, 0.32596278190612793, 0.3259628415107727, 0.2726985812187195, 0.2726985812187195]"
EdBerg/outputs_qwen_232,Qwen/Qwen2.5-0.5B,10,0.3224010854959488,0.0,0.007235431235431236,0.0,0.002411810411810412,2000,"[0.3258851170539856, 0.3258851170539856, 0.3544788956642151, 0.3544788956642151, 0.2957141101360321, 0.2957141101360321, 0.428575336933136, 0.4285752475261688, 0.20735201239585876, 0.20735201239585876]"
southfreebird/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,10,0.05334444269537926,0.0,0.02327731092436975,0.0,0.007759103641456583,2000,"[0.0695275366306305, 0.06952756643295288, 0.05470550060272217, 0.05470550060272217, 0.04998139292001724, 0.04998139292001724, 0.04739456996321678, 0.04739456996321678, 0.04511319845914841, 0.04511319845914841]"
DiamondGotCat/Prism-0.2,Qwen/Qwen2.5-0.5B,10,0.28763881623744963,0.0,0.0061068702290076335,0.0,0.002035623409669211,2000,"[0.24704554677009583, 0.24704554677009583, 0.29790177941322327, 0.29790180921554565, 0.32069897651672363, 0.32069897651672363, 0.2509368658065796, 0.2509368658065796, 0.3216108977794647, 0.3216108977794647]"
jhu-clsp/rank1-0.5b,Qwen/Qwen2.5-0.5B,10,0.1898421198129654,0.0,0.0032453028511365127,0.0,0.0010817676170455043,2000,"[0.253600537776947, 0.253600537776947, 0.14698047935962677, 0.14698047935962677, 0.12649714946746826, 0.12649714946746826, 0.20460474491119385, 0.20460474491119385, 0.21752768754959106, 0.21752768754959106]"
qgallouedec/Qwen2.5-0.5B-codeforces-SFT,Qwen/Qwen2.5-0.5B,10,0.03513182215392589,0.0,0.006196797145783452,0.017241379310344827,0.007812725485376093,2000,"[0.03621438890695572, 0.03621438890695572, 0.030249854549765587, 0.030249854549765587, 0.02535155415534973, 0.02535155415534973, 0.04378427565097809, 0.04378427565097809, 0.04005903750658035, 0.04005903750658035]"
hZzy/qwen2.5-0.5b-sft2-25-1,Qwen/Qwen2.5-0.5B,10,0.06940478309988976,0.0,0.005144106539455377,0.0,0.001714702179818459,2000,"[0.13699111342430115, 0.13699111342430115, 0.028377991169691086, 0.028378039598464966, 0.10254156589508057, 0.10254156589508057, 0.03471454977989197, 0.03471454977989197, 0.04439864680171013, 0.04439869523048401]"
hZzy/qwen2.5-0.5b-sft3-25-1,Qwen/Qwen2.5-0.5B,10,0.08536051064729691,0.0,0.0060377358490566035,0.0,0.002012578616352201,2000,"[0.040352605283260345, 0.040352605283260345, 0.12174603343009949, 0.12174595892429352, 0.1861424744129181, 0.1861424744129181, 0.03759678453207016, 0.03759678453207016, 0.04096469283103943, 0.04096469283103943]"
akhadangi/Qwen2.5-0.5B-0.01-L,Qwen/Qwen2.5-0.5B,10,0.10573418661952019,0.0,0.0020100502512562816,0.0,0.0006700167504187605,2000,"[0.12471726536750793, 0.12471726536750793, 0.16977861523628235, 0.16977861523628235, 0.04007204994559288, 0.04007204994559288, 0.11406657099723816, 0.11406657099723816, 0.08003643155097961, 0.08003643155097961]"
akhadangi/Qwen2.5-0.5B-0.1-L,Qwen/Qwen2.5-0.5B,10,0.09326058030128478,0.0,0.007025558224707597,0.0,0.002341852741569199,2000,"[0.12400570511817932, 0.12400563806295395, 0.05944289267063141, 0.05944289267063141, 0.16908609867095947, 0.16908609867095947, 0.052418988198041916, 0.052418988198041916, 0.06134925037622452, 0.06134925037622452]"
