base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,vikasp1610/qwen-sql-prefix,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,sergiopaniego/trainer_output,5,0.0419,2000,"[0.0545, 0.0285, 0.0405, 0.0485, 0.0375]"
Qwen/Qwen2.5-0.5B,yarinbar/Qwen2-0.5B-SFT,5,0.0522,2000,"[0.064, 0.031, 0.058, 0.0535, 0.0545]"
Qwen/Qwen2.5-0.5B,jona-972/Qwen2-0.5B-SFT,5,0.0504,2000,"[0.0635, 0.0325, 0.053, 0.051, 0.052]"
Qwen/Qwen2.5-0.5B,jona-972/Qwen2-0.5B-SFT-1,5,0.0454,2000,"[0.0565, 0.0345, 0.0495, 0.0505, 0.036]"
Qwen/Qwen2.5-0.5B,jona-972/Qwen2-0.5B-SFT-2,5,0.0504,2000,"[0.0645, 0.033, 0.053, 0.051, 0.0505]"
Qwen/Qwen2.5-0.5B,nmslmgl/Qwen2-0.5B-SFT,5,0.0219,2000,"[0.006, 0.0245, 0.017, 0.0525, 0.0095]"
Qwen/Qwen2.5-0.5B,dominics/Qwen2-0.5B-SFT,5,0.051500000000000004,2000,"[0.0625, 0.04, 0.05, 0.054, 0.051]"
Qwen/Qwen2.5-0.5B,cheese1010/Qwen2-0.5B-SFT,5,0.036,2000,"[0.0355, 0.0325, 0.0405, 0.049, 0.0225]"
Qwen/Qwen2.5-0.5B,goKerwin/my-logistic-model,5,0.2332,2000,"[0.1925, 0.187, 0.3005, 0.3185, 0.1675]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-DPO,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-0.5B-DPO-251121,5,0.0536,2000,"[0.0695, 0.0325, 0.06, 0.0515, 0.0545]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-0.5B-DPO-251121-2,5,0.0529,2000,"[0.0705, 0.0295, 0.06, 0.05, 0.0545]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-0.5B-DPO-251124,5,0.0498,2000,"[0.0655, 0.029, 0.055, 0.0485, 0.051]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-0.5B-DPO-251124-2,5,0.0508,2000,"[0.0675, 0.029, 0.058, 0.049, 0.0505]"
Qwen/Qwen2.5-0.5B,juannpmari/Qwen2-0.5B-DPO-251204-2,5,0.051000000000000004,2000,"[0.0675, 0.03, 0.057, 0.0495, 0.051]"
Qwen/Qwen2.5-0.5B,kkopsinis/Qwen2-0.5B-SFT,5,0.0472,2000,"[0.0605, 0.0325, 0.0525, 0.0465, 0.044]"
