threshold,tpr,fnr,tp,fn,n,filter
0.845,0.15384615384615385,0.8461538461538461,18,99,117,before
0.85,0.15384615384615385,0.8461538461538461,18,99,117,before
0.855,0.1452991452991453,0.8547008547008547,17,100,117,before
0.86,0.1452991452991453,0.8547008547008547,17,100,117,before
0.865,0.1452991452991453,0.8547008547008547,17,100,117,before
0.87,0.1452991452991453,0.8547008547008547,17,100,117,before
0.875,0.1452991452991453,0.8547008547008547,17,100,117,before
0.88,0.1452991452991453,0.8547008547008547,17,100,117,before
0.885,0.1452991452991453,0.8547008547008547,17,100,117,before
0.89,0.1452991452991453,0.8547008547008547,17,100,117,before
0.895,0.1452991452991453,0.8547008547008547,17,100,117,before
0.9,0.1452991452991453,0.8547008547008547,17,100,117,before
0.905,0.1452991452991453,0.8547008547008547,17,100,117,before
0.91,0.1452991452991453,0.8547008547008547,17,100,117,before
0.915,0.13675213675213677,0.8632478632478633,16,101,117,before
0.92,0.13675213675213677,0.8632478632478633,16,101,117,before
0.925,0.1111111111111111,0.8888888888888888,13,104,117,before
0.93,0.10256410256410256,0.8974358974358975,12,105,117,before
0.935,0.10256410256410256,0.8974358974358975,12,105,117,before
0.9400000000000001,0.10256410256410256,0.8974358974358975,12,105,117,before
0.9450000000000001,0.10256410256410256,0.8974358974358975,12,105,117,before
0.9500000000000001,0.10256410256410256,0.8974358974358975,12,105,117,before
0.9550000000000001,0.10256410256410256,0.8974358974358975,12,105,117,before
0.96,0.10256410256410256,0.8974358974358975,12,105,117,before
0.965,0.09401709401709402,0.905982905982906,11,106,117,before
0.97,0.08547008547008547,0.9145299145299145,10,107,117,before
0.975,0.08547008547008547,0.9145299145299145,10,107,117,before
0.98,0.08547008547008547,0.9145299145299145,10,107,117,before
0.985,0.08547008547008547,0.9145299145299145,10,107,117,before
0.99,0.08547008547008547,0.9145299145299145,10,107,117,before
0.995,0.06837606837606838,0.9316239316239316,8,109,117,before
1.0,0.042735042735042736,0.9572649572649573,5,112,117,before
0.0,1.0,0.0,27,0,27,after
0.005,0.9629629629629629,0.037037037037037035,26,1,27,after
0.01,0.8888888888888888,0.1111111111111111,24,3,27,after
0.015,0.8518518518518519,0.14814814814814814,23,4,27,after
0.02,0.8148148148148148,0.18518518518518517,22,5,27,after
0.025,0.8148148148148148,0.18518518518518517,22,5,27,after
0.03,0.8148148148148148,0.18518518518518517,22,5,27,after
0.035,0.8148148148148148,0.18518518518518517,22,5,27,after
0.04,0.8148148148148148,0.18518518518518517,22,5,27,after
0.045,0.7777777777777778,0.2222222222222222,21,6,27,after
0.05,0.7777777777777778,0.2222222222222222,21,6,27,after
0.055,0.7777777777777778,0.2222222222222222,21,6,27,after
0.06,0.7777777777777778,0.2222222222222222,21,6,27,after
0.065,0.7407407407407407,0.25925925925925924,20,7,27,after
0.07,0.7037037037037037,0.2962962962962963,19,8,27,after
0.075,0.7037037037037037,0.2962962962962963,19,8,27,after
0.08,0.7037037037037037,0.2962962962962963,19,8,27,after
0.085,0.7037037037037037,0.2962962962962963,19,8,27,after
0.09,0.7037037037037037,0.2962962962962963,19,8,27,after
0.095,0.7037037037037037,0.2962962962962963,19,8,27,after
0.1,0.7037037037037037,0.2962962962962963,19,8,27,after
0.105,0.7037037037037037,0.2962962962962963,19,8,27,after
0.11,0.6666666666666666,0.3333333333333333,18,9,27,after
0.115,0.6666666666666666,0.3333333333333333,18,9,27,after
0.12,0.6666666666666666,0.3333333333333333,18,9,27,after
0.125,0.6666666666666666,0.3333333333333333,18,9,27,after
0.13,0.6296296296296297,0.37037037037037035,17,10,27,after
0.135,0.6296296296296297,0.37037037037037035,17,10,27,after
0.14,0.5925925925925926,0.4074074074074074,16,11,27,after
0.145,0.5925925925925926,0.4074074074074074,16,11,27,after
0.15,0.5925925925925926,0.4074074074074074,16,11,27,after
0.155,0.5925925925925926,0.4074074074074074,16,11,27,after
0.16,0.5925925925925926,0.4074074074074074,16,11,27,after
0.165,0.5925925925925926,0.4074074074074074,16,11,27,after
0.17,0.5925925925925926,0.4074074074074074,16,11,27,after
0.17500000000000002,0.5925925925925926,0.4074074074074074,16,11,27,after
0.18,0.5925925925925926,0.4074074074074074,16,11,27,after
0.185,0.5925925925925926,0.4074074074074074,16,11,27,after
0.19,0.5555555555555556,0.4444444444444444,15,12,27,after
0.195,0.5555555555555556,0.4444444444444444,15,12,27,after
